,SecondLargestPropertyUseTypeGFA,SecondLargestPropertyUseType,ENERGYSTARScore,LargestPropertyUseType,LargestPropertyUseTypeGFA,TotalGHGEmissions,SiteEnergyUse,NumberofFloors,NumberofBuildings,CouncilDistrictCode,DefaultData,Latitude,Longitude,Neighborhood,YearBuilt,Outlier,PrimaryPropertyType,PropertyGFABuilding(s),PropertyGFAParking,PropertyGFATotal,BuildingType
6318,0.0,No Use,84.0,Housing,14.852773319088397,2.5160151470036647,19.36981390700933,2.321928094887362,1.0,7,False,5.604423056347621,-122.38842,magnolia,1974,normal,Housing,14.852773319088397,0.0,14.852773319088397,Multifamily LR (1-4)
6319,0.0,No Use,85.0,Housing,15.078609501154217,2.6507645591169022,19.52976188454171,2.321928094887362,1.0,7,False,5.604422759813184,-122.38781999999999,magnolia,1974,normal,Housing,15.078609501154217,0.0,15.078609501154217,Multifamily LR (1-4)
6320,0.0,No Use,100.0,Housing,14.986064228654277,1.7865963618908067,18.425777297525496,2.321928094887362,1.0,7,False,5.604392512980482,-122.38937,magnolia,1968,normal,Housing,14.986064228654277,0.0,14.986064228654277,Multifamily LR (1-4)
6321,14.921562038654143,Institution,,Other,15.471770459600153,6.094447221699913,20.75190246631361,1.584962500721156,1.0,5,False,5.606399586268694,-122.32083999999999,north,1961,normal,Other,16.2227194461333,0.0,16.2227194461333,NonResidential
6322,0.0,No Use,86.0,Institution,15.008516161589487,5.998646839005795,20.585230310177643,1.584962500721156,1.0,5,False,5.606419426736697,-122.32171000000001,north,1988,normal,Institution,15.008516161589487,0.0,15.008516161589487,NonResidential
6323,11.700006150882865,Other,71.0,Housing,14.617983932966146,2.5360529002402097,19.392837666571104,2.0,1.0,5,False,5.606443412609809,-122.31924,north,1986,normal,Housing,14.797205545959603,0.0,14.797205545959603,Multifamily LR (1-4)
6324,0.0,No Use,34.0,Housing,14.933875036707343,4.044394119358453,19.96312680068985,2.584962500721156,1.0,1,False,5.601867039136319,-122.38716000000001,southwest,2006,normal,Housing,14.933875036707343,0.0,14.933875036707343,Multifamily MR (5-9)
6325,0.0,Other,,Leisure,13.644644947968795,4.79025073883523,20.046496736817677,1.0,1.0,6,False,5.605479518061669,-122.35496,northwest,2004,normal,Other,13.644644947968795,13.830812271744879,14.74067674279055,Nonresidential COS
6326,0.0,No Use,93.0,Housing,14.5772517848955,2.1858665453113337,18.957794711482784,2.321928094887362,1.0,7,False,5.60415229502858,-122.38413999999999,magnolia,1969,normal,Housing,14.5772517848955,0.0,14.5772517848955,Multifamily LR (1-4)
6327,0.0,No Use,21.0,Housing,14.773036153393393,2.634593268445757,19.511493048750843,2.321928094887362,1.0,7,False,5.604252538987501,-122.39791000000001,magnolia,1978,normal,Housing,14.773036153393393,0.0,14.773036153393393,Multifamily LR (1-4)
6328,11.606405212697785,Other,79.0,Housing,14.43514933836693,2.292781749227846,19.093096903348385,2.0,1.0,6,False,5.6046902091107915,-122.35133,lake union,1969,normal,Housing,14.625080951485986,0.0,14.625080951485986,Multifamily LR (1-4)
6329,13.878146731480665,Other,,Housing,14.12968549847663,2.9049657186840263,19.827554176093653,2.321928094887362,1.0,6,False,5.604703847103332,-122.34973000000001,lake union,1990,normal,Other,15.461223627613371,0.0,15.461223627613371,Multifamily LR (1-4)
6330,13.89178370321831,Other,75.0,Housing,15.373442947178551,3.357552004618084,20.339490263754556,2.321928094887362,1.0,4,False,5.604640992674304,-122.34685,lake union,1997,normal,Housing,15.950328065920766,0.0,15.950328065920766,Multifamily LR (1-4)
6331,14.409523530691436,Other,80.0,Housing,15.121290673455453,3.37851162325373,20.362922084924325,2.321928094887362,1.0,4,False,5.604672420231118,-122.34703999999999,lake union,1995,normal,Housing,16.01674300982941,0.0,16.01674300982941,Multifamily LR (1-4)
6332,16.076022230631597,Other,,Housing,16.740439585275006,4.4924941516794314,21.55707566934063,2.321928094887362,1.0,6,False,5.605577003172289,-122.35157,northwest,2002,normal,Housing,17.48561707657527,0.0,17.48561707657527,Multifamily LR (1-4)
6334,0.0,No Use,72.0,Housing,14.955377469600855,2.7506065048355923,19.648535766034193,2.584962500721156,1.0,3,False,5.60341626735982,-122.3078,central,1989,normal,Housing,15.234854844922667,0.0,15.234854844922667,Multifamily MR (5-9)
6335,0.0,No Use,,Housing,14.621193361941973,5.7554217347342425,20.245008605825824,2.0,1.0,3,False,5.603417454324994,-122.30847,central,1911,normal,Other,14.621193361941973,0.0,14.621193361941973,NonResidential
6336,0.0,No Use,56.0,business storage,15.519728383866024,8.407607681791427,23.45778026584655,1.0,1.0,5,False,5.606128603312507,-122.31707,north,1996,normal,business storage,15.449793482931824,0.0,15.449793482931824,NonResidential
6337,0.0,No Use,,Office,14.446114042143225,2.5360529002402097,17.677595133772794,1.584962500721156,1.0,3,False,5.603282232531958,-122.32035060000001,east,1907,normal,Other,14.446114042143225,0.0,14.446114042143225,NonResidential
6338,12.55098721452152,Other,,Office,13.550867004960905,3.3348542693316325,19.83010122567355,2.0,1.0,3,False,5.603296972378657,-122.32033999999999,east,1912,normal,Other,14.550806896424309,0.0,14.550806896424309,NonResidential
6339,0.0,No Use,65.0,Office,14.5156382465048,7.012009900870915,21.365528432523575,2.0,1.0,3,False,5.603297862676244,-122.31589,east,1920,normal,Office,14.5156382465048,0.0,14.5156382465048,NonResidential
